Epoch 0: TrainLoss=5.988751e+00, Pen=1.713591e+00, EvalMSE=6.729649e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 100: TrainLoss=7.709230e-01, Pen=7.051741e-01, EvalMSE=5.805203e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 200: TrainLoss=2.318753e-01, Pen=5.001385e-01, EvalMSE=5.288698e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 300: TrainLoss=7.595389e-02, Pen=4.812292e-01, EvalMSE=5.075843e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 400: TrainLoss=4.564235e-02, Pen=4.633209e-01, EvalMSE=4.911374e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 500: TrainLoss=3.380062e-02, Pen=4.306752e-01, EvalMSE=4.750143e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 600: TrainLoss=2.327666e-02, Pen=3.814932e-01, EvalMSE=4.476910e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 700: TrainLoss=1.550742e-02, Pen=3.460793e-01, EvalMSE=4.237797e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 800: TrainLoss=1.038399e-02, Pen=3.255908e-01, EvalMSE=4.084815e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 900: TrainLoss=6.624113e-03, Pen=3.087374e-01, EvalMSE=3.958251e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=3.836750e-03, Pen=2.929986e-01, EvalMSE=3.847589e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=2.106528e-03, Pen=2.796239e-01, EvalMSE=3.759712e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=1.246044e-03, Pen=2.707411e-01, EvalMSE=3.702433e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=8.571205e-04, Pen=2.656032e-01, EvalMSE=3.670610e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=6.679696e-04, Pen=2.627508e-01, EvalMSE=3.654287e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=5.598883e-04, Pen=2.611186e-01, EvalMSE=3.645844e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=4.882978e-04, Pen=2.601139e-01, EvalMSE=3.641088e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=4.356973e-04, Pen=2.594454e-01, EvalMSE=3.638073e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=3.941951e-04, Pen=2.589688e-01, EvalMSE=3.635935e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=3.597839e-04, Pen=2.586071e-01, EvalMSE=3.634266e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=3.302753e-04, Pen=2.583162e-01, EvalMSE=3.632853e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=3.043989e-04, Pen=2.580691e-01, EvalMSE=3.631578e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=2.813817e-04, Pen=2.578484e-01, EvalMSE=3.630373e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=2.607183e-04, Pen=2.576438e-01, EvalMSE=3.629202e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=2.420824e-04, Pen=2.574476e-01, EvalMSE=3.628046e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=2.252509e-04, Pen=2.572545e-01, EvalMSE=3.626895e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=2.100570e-04, Pen=2.570610e-01, EvalMSE=3.625748e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=1.963803e-04, Pen=2.568641e-01, EvalMSE=3.624604e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=1.841068e-04, Pen=2.566622e-01, EvalMSE=3.623464e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=1.731295e-04, Pen=2.564538e-01, EvalMSE=3.622329e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=1.633451e-04, Pen=2.562389e-01, EvalMSE=3.621203e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=1.546418e-04, Pen=2.560176e-01, EvalMSE=3.620083e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 3200: TrainLoss=1.469120e-04, Pen=2.557906e-01, EvalMSE=3.618971e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 3300: TrainLoss=1.400443e-04, Pen=2.555594e-01, EvalMSE=3.617862e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 3400: TrainLoss=1.339444e-04, Pen=2.553246e-01, EvalMSE=3.616757e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 0: TrainLoss=4.602134e+00, Pen=1.797871e+00, EvalMSE=6.750711e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
Epoch 100: TrainLoss=6.955944e-01, Pen=6.083958e-01, EvalMSE=5.674226e-04 (h1=16, h_n=1.80014, lr=0.005, loss=mse)
