Epoch 0: TrainLoss=9.221692e+00, Pen=5.080647e-01, EvalMSE=6.598905e-04 (h1=12, h_n=1.35011, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.999821e+00, Pen=3.947510e-01, EvalMSE=7.452731e-04 (h1=12, h_n=1.35011, lr=0.005, loss=mse)
Epoch 200: TrainLoss=1.117848e+00, Pen=6.151733e-01, EvalMSE=6.946547e-04 (h1=12, h_n=1.35011, lr=0.005, loss=mse)
Epoch 300: TrainLoss=8.010567e-01, Pen=4.541719e-01, EvalMSE=5.910743e-04 (h1=12, h_n=1.35011, lr=0.005, loss=mse)
Epoch 400: TrainLoss=5.970763e-01, Pen=3.620591e-01, EvalMSE=5.309784e-04 (h1=12, h_n=1.35011, lr=0.005, loss=mse)
Epoch 500: TrainLoss=4.328487e-01, Pen=2.941103e-01, EvalMSE=4.787006e-04 (h1=12, h_n=1.35011, lr=0.005, loss=mse)
Epoch 600: TrainLoss=2.916549e-01, Pen=2.383914e-01, EvalMSE=4.045664e-04 (h1=12, h_n=1.35011, lr=0.005, loss=mse)
Epoch 700: TrainLoss=2.021905e-01, Pen=2.033070e-01, EvalMSE=3.553355e-04 (h1=12, h_n=1.35011, lr=0.005, loss=mse)
Epoch 800: TrainLoss=1.496674e-01, Pen=1.810234e-01, EvalMSE=3.296086e-04 (h1=12, h_n=1.35011, lr=0.005, loss=mse)
Epoch 900: TrainLoss=1.173606e-01, Pen=1.686796e-01, EvalMSE=3.141632e-04 (h1=12, h_n=1.35011, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=9.508327e-02, Pen=1.617813e-01, EvalMSE=3.041841e-04 (h1=12, h_n=1.35011, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=7.754938e-02, Pen=1.569594e-01, EvalMSE=2.970412e-04 (h1=12, h_n=1.35011, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=6.316836e-02, Pen=1.525251e-01, EvalMSE=2.906985e-04 (h1=12, h_n=1.35011, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=5.163495e-02, Pen=1.479749e-01, EvalMSE=2.839516e-04 (h1=12, h_n=1.35011, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=4.229575e-02, Pen=1.436375e-01, EvalMSE=2.766717e-04 (h1=12, h_n=1.35011, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=3.486952e-02, Pen=1.400109e-01, EvalMSE=2.698256e-04 (h1=12, h_n=1.35011, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=2.910335e-02, Pen=1.376372e-01, EvalMSE=2.651563e-04 (h1=12, h_n=1.35011, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=2.459705e-02, Pen=1.361724e-01, EvalMSE=2.624266e-04 (h1=12, h_n=1.35011, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=2.098082e-02, Pen=1.352421e-01, EvalMSE=2.607372e-04 (h1=12, h_n=1.35011, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=1.799860e-02, Pen=1.346969e-01, EvalMSE=2.596885e-04 (h1=12, h_n=1.35011, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=1.548872e-02, Pen=1.344215e-01, EvalMSE=2.590934e-04 (h1=12, h_n=1.35011, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=1.335163e-02, Pen=1.343266e-01, EvalMSE=2.588283e-04 (h1=12, h_n=1.35011, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=1.152910e-02, Pen=1.343648e-01, EvalMSE=2.588122e-04 (h1=12, h_n=1.35011, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=9.983668e-03, Pen=1.345284e-01, EvalMSE=2.589920e-04 (h1=12, h_n=1.35011, lr=0.005, loss=mse)
