Epoch 0: TrainLoss=1.766875e+02, Pen=6.632527e-01, EvalMSE=2.899565e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.155484e+02, Pen=3.257704e-03, EvalMSE=5.087824e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 200: TrainLoss=9.489523e+01, Pen=1.485594e-03, EvalMSE=5.079193e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 300: TrainLoss=8.453964e+01, Pen=6.368610e-04, EvalMSE=3.543866e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 400: TrainLoss=7.822359e+01, Pen=6.352158e-04, EvalMSE=2.960889e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 500: TrainLoss=7.352366e+01, Pen=6.593938e-04, EvalMSE=2.566381e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 600: TrainLoss=6.930558e+01, Pen=6.374706e-04, EvalMSE=2.518836e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 700: TrainLoss=6.568156e+01, Pen=5.935470e-04, EvalMSE=2.502938e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 800: TrainLoss=6.198891e+01, Pen=8.250375e-04, EvalMSE=2.906500e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 900: TrainLoss=5.799562e+01, Pen=6.424147e-04, EvalMSE=3.196658e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=5.414146e+01, Pen=4.515433e-04, EvalMSE=3.406028e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=4.989417e+01, Pen=1.369945e-05, EvalMSE=3.589266e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=4.566718e+01, Pen=3.455786e-06, EvalMSE=4.291093e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=4.137773e+01, Pen=3.385053e-08, EvalMSE=5.180786e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=3.761177e+01, Pen=1.090287e-09, EvalMSE=5.619842e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=3.458524e+01, Pen=2.872687e-10, EvalMSE=5.569177e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=3.166934e+01, Pen=8.129081e-11, EvalMSE=5.338748e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=2.914777e+01, Pen=3.186354e-11, EvalMSE=5.295534e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=2.730349e+01, Pen=1.795106e-11, EvalMSE=5.177860e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=2.586224e+01, Pen=1.075687e-11, EvalMSE=5.076737e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=2.457849e+01, Pen=5.811059e-12, EvalMSE=4.981015e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=2.325880e+01, Pen=3.792812e-12, EvalMSE=4.871146e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=2.221305e+01, Pen=2.927998e-12, EvalMSE=4.706337e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=2.133087e+01, Pen=2.519678e-12, EvalMSE=4.574996e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=2.059591e+01, Pen=2.257397e-12, EvalMSE=4.488152e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=1.989314e+01, Pen=2.315385e-12, EvalMSE=4.465265e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=1.937743e+01, Pen=2.051472e-12, EvalMSE=4.463169e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=1.878682e+01, Pen=1.537641e-12, EvalMSE=4.550566e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=1.820202e+01, Pen=1.306556e-12, EvalMSE=4.592250e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=1.768506e+01, Pen=1.135997e-12, EvalMSE=4.676662e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=1.730373e+01, Pen=9.567242e-13, EvalMSE=4.629995e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=1.697895e+01, Pen=8.670270e-13, EvalMSE=4.523963e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 3200: TrainLoss=1.670675e+01, Pen=8.434974e-13, EvalMSE=4.391415e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 3300: TrainLoss=1.647182e+01, Pen=8.223685e-13, EvalMSE=4.239415e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 3400: TrainLoss=1.626244e+01, Pen=8.071098e-13, EvalMSE=4.075513e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 0: TrainLoss=2.021142e+02, Pen=2.048462e+00, EvalMSE=3.124565e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 100: TrainLoss=1.213444e+02, Pen=1.437964e-02, EvalMSE=5.692384e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 200: TrainLoss=9.068155e+01, Pen=1.378306e-02, EvalMSE=6.323408e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 300: TrainLoss=7.869657e+01, Pen=3.078491e-03, EvalMSE=4.240791e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 400: TrainLoss=7.194648e+01, Pen=1.403890e-03, EvalMSE=3.490026e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 500: TrainLoss=6.775423e+01, Pen=9.975327e-04, EvalMSE=3.147365e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 600: TrainLoss=6.498910e+01, Pen=8.155315e-04, EvalMSE=2.907924e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 700: TrainLoss=6.311231e+01, Pen=7.013919e-04, EvalMSE=2.679627e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 800: TrainLoss=6.169387e+01, Pen=6.097096e-04, EvalMSE=2.387944e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 900: TrainLoss=6.026233e+01, Pen=7.493530e-04, EvalMSE=1.994793e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=5.898671e+01, Pen=5.543827e-04, EvalMSE=1.714496e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=5.756578e+01, Pen=2.892261e-04, EvalMSE=1.573250e-04 (h1=2, h_n=0.129369, lr=0.005, loss=mse)
