Epoch 0: TrainLoss=6.497916e+00, Pen=1.558246e+00, EvalMSE=1.322556e-04 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 100: TrainLoss=3.456357e+00, Pen=5.297887e-01, EvalMSE=1.377426e-04 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 200: TrainLoss=2.856574e+00, Pen=8.332799e-01, EvalMSE=1.514236e-04 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 300: TrainLoss=2.169446e+00, Pen=6.455572e-01, EvalMSE=1.187482e-04 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 400: TrainLoss=1.398373e+00, Pen=2.392308e-01, EvalMSE=7.055695e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 500: TrainLoss=1.017694e+00, Pen=1.046441e-01, EvalMSE=7.199205e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 600: TrainLoss=8.135571e-01, Pen=6.728999e-02, EvalMSE=7.629073e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 700: TrainLoss=6.953081e-01, Pen=5.169813e-02, EvalMSE=7.046561e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 800: TrainLoss=6.081538e-01, Pen=4.348974e-02, EvalMSE=5.948555e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 900: TrainLoss=5.393076e-01, Pen=3.896447e-02, EvalMSE=5.062570e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=4.802443e-01, Pen=3.637227e-02, EvalMSE=4.455754e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=4.300924e-01, Pen=3.374034e-02, EvalMSE=4.067870e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=3.778268e-01, Pen=2.939215e-02, EvalMSE=3.759170e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=3.261850e-01, Pen=2.402919e-02, EvalMSE=3.404233e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=2.879891e-01, Pen=2.051979e-02, EvalMSE=3.113200e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=2.572456e-01, Pen=1.732938e-02, EvalMSE=2.878922e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=2.313102e-01, Pen=1.421020e-02, EvalMSE=2.699998e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=2.091861e-01, Pen=1.126710e-02, EvalMSE=2.566843e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=1.896121e-01, Pen=8.904674e-03, EvalMSE=2.449019e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=1.722520e-01, Pen=7.161735e-03, EvalMSE=2.352630e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=1.578272e-01, Pen=5.923510e-03, EvalMSE=2.265964e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=1.449180e-01, Pen=5.072058e-03, EvalMSE=2.163319e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=1.329480e-01, Pen=4.499055e-03, EvalMSE=2.044477e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=1.224934e-01, Pen=4.086413e-03, EvalMSE=1.938674e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=1.137068e-01, Pen=3.771037e-03, EvalMSE=1.862532e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=1.064677e-01, Pen=3.550517e-03, EvalMSE=1.806977e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=1.002162e-01, Pen=3.384662e-03, EvalMSE=1.761597e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=9.399179e-02, Pen=3.273649e-03, EvalMSE=1.737437e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=8.838218e-02, Pen=3.241045e-03, EvalMSE=1.750198e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=8.433139e-02, Pen=3.217438e-03, EvalMSE=1.755370e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=8.117042e-02, Pen=3.184595e-03, EvalMSE=1.757635e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=7.844638e-02, Pen=3.136508e-03, EvalMSE=1.759128e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 3200: TrainLoss=7.610908e-02, Pen=3.102274e-03, EvalMSE=1.758960e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 3300: TrainLoss=7.397579e-02, Pen=3.077931e-03, EvalMSE=1.756132e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 3400: TrainLoss=7.203083e-02, Pen=3.058282e-03, EvalMSE=1.751423e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
