Epoch 0: TrainLoss=7.002142e+00, Pen=1.052190e+00, EvalMSE=1.398265e-04 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 100: TrainLoss=3.919802e+00, Pen=5.298264e-01, EvalMSE=1.481841e-04 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 200: TrainLoss=3.166515e+00, Pen=6.576887e-01, EvalMSE=1.458050e-04 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 300: TrainLoss=2.446379e+00, Pen=3.394765e-01, EvalMSE=9.932025e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 400: TrainLoss=1.566493e+00, Pen=1.621259e-01, EvalMSE=6.538642e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 500: TrainLoss=1.171350e+00, Pen=1.071320e-01, EvalMSE=8.047402e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 600: TrainLoss=9.788907e-01, Pen=8.264400e-02, EvalMSE=8.583374e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 700: TrainLoss=8.529781e-01, Pen=6.524336e-02, EvalMSE=7.964329e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 800: TrainLoss=7.565030e-01, Pen=5.282275e-02, EvalMSE=7.156257e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 900: TrainLoss=6.691366e-01, Pen=4.395662e-02, EvalMSE=6.190476e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=5.924495e-01, Pen=3.676247e-02, EvalMSE=5.314180e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=5.270569e-01, Pen=3.109937e-02, EvalMSE=4.665482e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=4.654710e-01, Pen=2.601971e-02, EvalMSE=4.180100e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=4.167291e-01, Pen=2.157648e-02, EvalMSE=3.801185e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=3.743123e-01, Pen=1.802543e-02, EvalMSE=3.466136e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=3.346937e-01, Pen=1.519145e-02, EvalMSE=3.125779e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=2.999610e-01, Pen=1.313691e-02, EvalMSE=2.906044e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=2.705927e-01, Pen=1.150096e-02, EvalMSE=2.821939e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=2.455988e-01, Pen=1.012282e-02, EvalMSE=2.775639e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=2.219270e-01, Pen=9.045597e-03, EvalMSE=2.692066e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=1.984899e-01, Pen=8.029190e-03, EvalMSE=2.531610e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=1.784629e-01, Pen=7.167652e-03, EvalMSE=2.408765e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=1.613092e-01, Pen=6.521091e-03, EvalMSE=2.305265e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=1.463394e-01, Pen=6.071559e-03, EvalMSE=2.235839e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=1.331150e-01, Pen=5.758563e-03, EvalMSE=2.203755e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=1.214566e-01, Pen=5.529640e-03, EvalMSE=2.194576e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=1.107544e-01, Pen=5.303982e-03, EvalMSE=2.188829e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=1.015972e-01, Pen=5.133787e-03, EvalMSE=2.177592e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=9.384919e-02, Pen=4.910918e-03, EvalMSE=2.167990e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=8.731382e-02, Pen=4.663536e-03, EvalMSE=2.163006e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=8.181223e-02, Pen=4.413456e-03, EvalMSE=2.163945e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=7.719947e-02, Pen=4.180851e-03, EvalMSE=2.171224e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 3200: TrainLoss=7.332712e-02, Pen=3.977007e-03, EvalMSE=2.183497e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 3300: TrainLoss=7.000556e-02, Pen=3.803283e-03, EvalMSE=2.198690e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 3400: TrainLoss=6.702294e-02, Pen=3.656522e-03, EvalMSE=2.216191e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 0: TrainLoss=8.724776e+00, Pen=1.360878e+00, EvalMSE=1.443071e-04 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 100: TrainLoss=4.701290e+00, Pen=5.916351e-01, EvalMSE=1.589231e-04 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 200: TrainLoss=3.652966e+00, Pen=8.866127e-01, EvalMSE=1.673617e-04 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 300: TrainLoss=2.811568e+00, Pen=5.420106e-01, EvalMSE=1.264970e-04 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 400: TrainLoss=1.767112e+00, Pen=2.516641e-01, EvalMSE=7.133083e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 500: TrainLoss=1.225020e+00, Pen=1.881831e-01, EvalMSE=7.390398e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 600: TrainLoss=9.643425e-01, Pen=1.594051e-01, EvalMSE=8.044118e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 700: TrainLoss=8.039864e-01, Pen=1.251544e-01, EvalMSE=7.380899e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 800: TrainLoss=6.992877e-01, Pen=1.056430e-01, EvalMSE=6.611844e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 900: TrainLoss=6.248377e-01, Pen=9.102070e-02, EvalMSE=5.948326e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=5.691242e-01, Pen=7.755209e-02, EvalMSE=5.512201e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=5.230341e-01, Pen=6.622603e-02, EvalMSE=5.144363e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=4.841634e-01, Pen=5.793773e-02, EvalMSE=4.862165e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=4.511236e-01, Pen=5.159787e-02, EvalMSE=4.651771e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=4.217454e-01, Pen=4.648111e-02, EvalMSE=4.459259e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=3.933819e-01, Pen=4.254572e-02, EvalMSE=4.243093e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=3.505320e-01, Pen=3.742783e-02, EvalMSE=3.921258e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=3.045923e-01, Pen=3.082622e-02, EvalMSE=3.603178e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=2.732013e-01, Pen=2.583405e-02, EvalMSE=3.376842e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=2.491411e-01, Pen=2.175691e-02, EvalMSE=3.201514e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=2.292359e-01, Pen=1.828586e-02, EvalMSE=3.071698e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=2.116838e-01, Pen=1.545112e-02, EvalMSE=2.968716e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=1.947415e-01, Pen=1.272049e-02, EvalMSE=2.854054e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=1.757812e-01, Pen=1.004283e-02, EvalMSE=2.650643e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=1.601651e-01, Pen=8.545097e-03, EvalMSE=2.528372e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=1.460911e-01, Pen=7.336751e-03, EvalMSE=2.367860e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=1.312734e-01, Pen=6.371091e-03, EvalMSE=2.267253e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=1.183588e-01, Pen=5.149598e-03, EvalMSE=2.221903e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=1.084379e-01, Pen=4.490314e-03, EvalMSE=2.144697e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=1.002008e-01, Pen=4.042161e-03, EvalMSE=2.078365e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=9.312143e-02, Pen=3.701415e-03, EvalMSE=2.013342e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=8.695647e-02, Pen=3.437727e-03, EvalMSE=1.952292e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 3200: TrainLoss=8.153509e-02, Pen=3.236549e-03, EvalMSE=1.897892e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 3300: TrainLoss=7.677957e-02, Pen=3.088803e-03, EvalMSE=1.852559e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 3400: TrainLoss=7.269880e-02, Pen=2.983090e-03, EvalMSE=1.816404e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 0: TrainLoss=7.787612e+00, Pen=2.098988e+00, EvalMSE=1.358213e-04 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 100: TrainLoss=4.119649e+00, Pen=4.273100e-01, EvalMSE=1.329803e-04 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 200: TrainLoss=3.417609e+00, Pen=5.072314e-01, EvalMSE=1.294054e-04 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 300: TrainLoss=2.563443e+00, Pen=3.293589e-01, EvalMSE=9.267693e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 400: TrainLoss=1.776456e+00, Pen=1.599369e-01, EvalMSE=6.367958e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 500: TrainLoss=1.348142e+00, Pen=1.012134e-01, EvalMSE=6.819131e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 600: TrainLoss=1.090908e+00, Pen=5.863372e-02, EvalMSE=6.535460e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 700: TrainLoss=9.007018e-01, Pen=3.512419e-02, EvalMSE=5.953300e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 800: TrainLoss=7.418596e-01, Pen=2.226394e-02, EvalMSE=5.416538e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 900: TrainLoss=6.209491e-01, Pen=1.597125e-02, EvalMSE=4.874916e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=5.291581e-01, Pen=1.230629e-02, EvalMSE=4.344453e-05 (h1=12, h_n=0.600751, lr=0.005, loss=mse)
