Epoch 0: TrainLoss=1.439504e+01, Pen=1.737289e+00, EvalMSE=2.885201e-04 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 100: TrainLoss=6.692782e+00, Pen=3.056636e-01, EvalMSE=3.119803e-04 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 200: TrainLoss=5.207799e+00, Pen=4.552614e-01, EvalMSE=2.958157e-04 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 300: TrainLoss=4.149987e+00, Pen=2.844563e-01, EvalMSE=2.499408e-04 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 400: TrainLoss=3.207637e+00, Pen=1.343911e-01, EvalMSE=1.902547e-04 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 500: TrainLoss=2.447000e+00, Pen=5.133564e-02, EvalMSE=1.452040e-04 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 600: TrainLoss=1.841351e+00, Pen=2.136955e-02, EvalMSE=1.312870e-04 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 700: TrainLoss=1.438894e+00, Pen=9.972182e-03, EvalMSE=1.365476e-04 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 800: TrainLoss=1.155487e+00, Pen=5.587943e-03, EvalMSE=1.338222e-04 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 900: TrainLoss=9.149679e-01, Pen=3.894438e-03, EvalMSE=1.227269e-04 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=7.258790e-01, Pen=3.279309e-03, EvalMSE=1.080393e-04 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=5.816783e-01, Pen=3.149709e-03, EvalMSE=9.397073e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=4.759790e-01, Pen=3.082767e-03, EvalMSE=8.250835e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=4.000260e-01, Pen=3.034905e-03, EvalMSE=7.443285e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=3.429214e-01, Pen=3.043284e-03, EvalMSE=6.803763e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=2.958721e-01, Pen=3.493395e-03, EvalMSE=6.152383e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=2.621352e-01, Pen=3.866602e-03, EvalMSE=5.828774e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=2.365791e-01, Pen=4.048326e-03, EvalMSE=5.622235e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 1800: TrainLoss=2.114926e-01, Pen=3.967922e-03, EvalMSE=5.268812e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 1900: TrainLoss=1.854367e-01, Pen=3.898224e-03, EvalMSE=4.928883e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 2000: TrainLoss=1.656858e-01, Pen=3.880517e-03, EvalMSE=4.820845e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 2100: TrainLoss=1.492495e-01, Pen=3.901651e-03, EvalMSE=4.725083e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 2200: TrainLoss=1.353913e-01, Pen=3.923437e-03, EvalMSE=4.646683e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 2300: TrainLoss=1.235363e-01, Pen=3.934634e-03, EvalMSE=4.580798e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 2400: TrainLoss=1.131964e-01, Pen=3.936839e-03, EvalMSE=4.520420e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 2500: TrainLoss=1.040237e-01, Pen=3.952303e-03, EvalMSE=4.462130e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 2600: TrainLoss=9.585810e-02, Pen=4.003957e-03, EvalMSE=4.407468e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 2700: TrainLoss=8.864904e-02, Pen=4.087282e-03, EvalMSE=4.365372e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 2800: TrainLoss=8.238849e-02, Pen=4.184185e-03, EvalMSE=4.342910e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 2900: TrainLoss=7.702155e-02, Pen=4.272326e-03, EvalMSE=4.334506e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 3000: TrainLoss=7.240438e-02, Pen=4.336183e-03, EvalMSE=4.326722e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 3100: TrainLoss=6.831837e-02, Pen=4.369617e-03, EvalMSE=4.300836e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
