Epoch 0: TrainLoss=1.135913e+01, Pen=8.631648e-01, EvalMSE=2.787440e-04 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 100: TrainLoss=3.822575e+00, Pen=7.070208e-01, EvalMSE=2.624899e-04 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 200: TrainLoss=1.738692e+00, Pen=3.198666e-01, EvalMSE=2.193412e-04 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 300: TrainLoss=1.240595e+00, Pen=2.455563e-01, EvalMSE=2.004208e-04 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 400: TrainLoss=1.007324e+00, Pen=1.720971e-01, EvalMSE=1.719397e-04 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 500: TrainLoss=7.764718e-01, Pen=8.448935e-02, EvalMSE=1.331783e-04 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 600: TrainLoss=4.977111e-01, Pen=1.231323e-02, EvalMSE=9.241507e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 700: TrainLoss=2.627938e-01, Pen=3.697692e-03, EvalMSE=6.686750e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 800: TrainLoss=1.621450e-01, Pen=2.848791e-03, EvalMSE=5.775213e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 900: TrainLoss=8.037515e-02, Pen=3.079242e-03, EvalMSE=5.568984e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 1000: TrainLoss=4.630127e-02, Pen=3.656482e-03, EvalMSE=5.122926e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 1100: TrainLoss=3.094495e-02, Pen=4.079549e-03, EvalMSE=4.861957e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 1200: TrainLoss=2.255253e-02, Pen=4.315558e-03, EvalMSE=4.649428e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 1300: TrainLoss=1.772387e-02, Pen=4.454066e-03, EvalMSE=4.524153e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 1400: TrainLoss=1.461907e-02, Pen=4.598917e-03, EvalMSE=4.449689e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 1500: TrainLoss=1.243489e-02, Pen=4.749932e-03, EvalMSE=4.403642e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 1600: TrainLoss=1.082450e-02, Pen=4.888101e-03, EvalMSE=4.371860e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
Epoch 1700: TrainLoss=9.587837e-03, Pen=5.001035e-03, EvalMSE=4.345559e-05 (h1=12, h_n=0.776215, lr=0.005, loss=mse)
